etnia,sexo,escuela,edad,DEP1,DEP2,DEP3,DEP4,DEP5,DEP6,DEP7,DEP8,GAD1,GAD2,GAD3,GAD4,GAD5,GAD6,GAD7,MSPSS1,MSPSS2,MSPSS3,MSPSS4,MSPSS5,MSPSS6,MSPSS7,MSPSS8,MSPSS9,MSPSS10,MSPSS11,MSPSS12,DEP_Total,GAD_Total,MSPSS_Total
Minoritaria,Hombre,Publica nacional,17,2,1,1,2,1,3,2,1,2,2,3,1,0,1,2,3,5,7,7,5,3,5,6,5,6,6,3,13,11,5.08333333333333
Predominante,Hombre,Publica nacional,17,3,0,0,3,1,1,3,3,2,3,2,3,3,1,0,3,3,3,1,6,5,3,1,5,3,1,4,14,14,3.16666666666667
Minoritaria,Hombre,Publica nacional,17,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,5,3,7,7,6,5,5,6,6,6,6,5,3,1,5.58333333333333
Predominante,Hombre,Publica nacional,16,3,3,3,0,0,0,3,1,1,0,0,1,1,1,1,5,5,7,5,7,3,4,6,4,7,7,4,13,5,5.33333333333333
Predominante,Hombre,Publica nacional,15,1,0,3,1,1,2,0,0,0,0,0,0,0,0,0,3,5,6,3,4,3,5,5,2,4,5,1,8,0,3.83333333333333
Predominante,Hombre,Publica nacional,15,2,1,3,3,1,3,1,1,3,1,1,3,2,0,1,3,3,6,6,3,3,3,3,5,6,6,5,15,11,4.33333333333333
Predominante,Hombre,Publica nacional,17,2,3,2,1,0,2,1,1,2,3,2,2,0,1,2,5,6,6,5,7,6,6,5,6,7,5,4,12,12,5.66666666666667
Predominante,Hombre,Publica nacional,15,2,1,1,1,3,1,2,1,1,1,1,0,1,1,1,3,4,5,5,3,3,3,5,4,4,5,3,12,6,3.91666666666667
Minoritaria,Hombre,Publica nacional,15,1,0,1,0,1,1,1,1,1,0,0,0,0,0,1,5,1,7,7,7,7,4,4,4,4,2,2,6,2,4.5
Minoritaria,Hombre,Publica nacional,16,3,0,1,0,2,0,3,0,0,1,2,3,2,1,0,7,7,7,7,7,3,6,3,5,7,7,1,9,9,5.58333333333333
Minoritaria,Hombre,Publica nacional,14,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,7,7,7,7,7,5,6,7,6,7,7,4,0,2,6.41666666666667
Predominante,Hombre,Publica nacional,17,0,1,0,1,0,0,1,1,0,1,1,1,1,1,1,3,3,4,5,3,2,4,4,3,3,3,1,4,6,3.16666666666667
Predominante,Hombre,Publica nacional,16,3,1,0,1,2,0,3,0,1,2,3,0,2,1,2,6,6,7,6,6,6,6,3,6,7,7,6,10,11,6
Predominante,Hombre,Publica nacional,15,1,0,1,3,1,1,1,2,0,0,1,0,2,1,0,5,6,7,6,4,4,5,6,6,4,5,4,10,4,5.16666666666667
Minoritaria,Hombre,Publica nacional,16,0,0,3,2,3,3,0,1,1,3,3,1,1,2,1,4,7,7,4,7,1,4,6,7,7,7,4,12,12,5.41666666666667
Predominante,Hombre,Publica nacional,16,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,3,6,6,6,6,4,5,6,5,6,6,5,3,0,5.33333333333333
Predominante,Hombre,Publica nacional,17,2,1,3,2,1,3,1,1,1,1,1,0,0,1,0,1,1,6,3,4,4,1,1,4,4,5,1,14,4,2.91666666666667
Predominante,Hombre,Publica nacional,14,0,1,0,0,1,0,0,0,0,0,0,0,0,3,0,5,1,7,7,4,5,5,1,3,6,5,3,2,3,4.33333333333333
Predominante,Hombre,Publica nacional,17,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,6,6,6,6,6,3,6,4,5,6,6,4,1,1,5.33333333333333
Predominante,Mujer,Publica nacional,15,0,1,3,3,2,0,0,0,2,3,3,0,0,1,3,6,2,6,2,2,2,2,6,2,2,7,2,9,12,3.41666666666667
Predominante,Mujer,Publica nacional,14,1,0,0,0,0,0,0,0,0,1,1,1,0,3,0,5,5,7,7,7,5,5,5,5,7,7,5,1,6,5.83333333333333
Predominante,Mujer,Publica nacional,14,1,3,1,1,2,1,1,2,1,2,2,2,1,3,1,6,6,5,3,6,3,2,2,5,7,6,5,12,12,4.66666666666667
Predominante,Mujer,Publica nacional,13,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,7,7,6,6,7,3,5,7,5,7,7,3,2,1,5.83333333333333
Predominante,Mujer,Publica nacional,14,0,0,3,1,0,0,1,0,0,3,0,3,0,0,0,6,6,7,7,5,6,6,7,6,6,7,6,5,6,6.25
Predominante,Mujer,Publica nacional,14,0,1,0,3,0,0,0,0,1,1,0,0,0,0,2,3,1,3,6,4,3,4,5,2,6,7,4,4,4,4
Minoritaria,Mujer,Publica nacional,15,3,3,0,2,2,3,1,0,3,3,3,1,1,1,2,5,7,6,6,7,7,6,3,6,6,4,5,14,14,5.66666666666667
Minoritaria,Mujer,Publica nacional,14,3,2,2,1,0,1,1,3,2,3,3,1,2,3,2,6,7,6,5,4,5,3,2,2,6,3,2,13,16,4.25
Predominante,Mujer,Publica nacional,13,1,3,0,0,0,1,1,0,0,0,1,0,0,0,0,7,7,7,6,4,4,6,7,4,7,6,6,6,1,5.91666666666667
Predominante,Mujer,Publica nacional,14,0,1,0,0,0,0,2,0,2,3,3,0,0,3,2,6,7,7,7,6,7,6,7,7,6,7,6,3,13,6.58333333333333
Predominante,Mujer,Publica nacional,13,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7,7,6,6,7,5,4,5,5,7,6,5,1,0,5.83333333333333
Minoritaria,Mujer,Publica nacional,15,1,1,0,0,0,0,1,0,1,2,1,1,0,0,0,4,6,7,7,7,6,6,7,6,4,7,6,3,5,6.08333333333333
Predominante,Mujer,Publica nacional,16,0,0,1,0,1,0,2,0,0,1,2,1,1,1,1,7,7,7,7,7,6,7,4,6,6,4,4,4,7,6
