Domicilio,Educacion,Sexo,Edad,C19_propio,C19_otros,Severidad_1,Severidad_2,Severidad_3,Reactancia_1,Reactancia_2,Reactancia_3,Reactancia_4,Reactancia_5,Reactancia_6,Reactancia_7,Reactancia_8,Reactancia_9,Reactancia_10,Reactancia_11,Actitud_1,Actitud_2,Actitud_3,NorSocial_1,NorSocial_2,NorSocial_3,NorMoral_1,NorMoral_2,NorMoral_3,Control_1,Control_2,Control_3,Control_4,Intencion_1,Intencion_2,Intencion_3
Poblado,Secundaria,Mujer,45,No,Si,5,4,4,2,1,1,1,3,2,2,2,4,2,2,1,1,2,1,4,2,1,1,1,1,7,1,7,1,1,1
Ciudad_grande,Universitaria,Mujer,44,No,Si,7,7,5,5,4,3,3,5,5,5,3,5,6,5,6,7,7,6,6,6,6,6,6,6,6,6,5,6,6,6
Ciudad_grande,Post-secundaria,Mujer,57,No,Si,5,6,6,4,3,4,2,5,4,5,4,4,5,4,3,4,3,4,4,4,3,5,4,5,7,4,7,5,4,3
Ciudad_mediana,Secundaria,Mujer,49,No,Si,6,6,4,4,4,6,4,5,6,6,4,4,4,4,7,7,7,6,6,6,6,7,7,5,5,5,5,6,5,6
Ciudad_mediana,Bachillerato,Mujer,63,No,Si,7,7,7,5,3,3,2,5,5,5,3,3,3,3,7,7,7,6,6,6,6,6,7,5,6,5,5,6,6,6
Ciudad_pequeña,Universitaria,Mujer,52,No,Si,6,4,4,2,2,2,2,2,3,5,2,4,4,2,7,6,6,4,4,4,5,4,5,6,6,5,7,6,5,5
Ciudad_pequeña,Universitaria,Mujer,47,No,Si,5,5,5,5,5,5,4,5,5,6,4,5,5,5,6,6,5,4,5,5,5,4,5,4,6,5,4,5,5,5
Ciudad_grande,Universitaria,Mujer,49,No,Si,6,6,6,3,3,3,3,5,5,3,3,4,4,4,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
Ciudad_grande,Secundaria,Mujer,34,No,Si,5,5,2,6,4,7,6,7,7,7,7,7,7,7,4,4,4,4,4,4,4,4,4,3,6,4,4,4,4,4
Ciudad_mediana,Secundaria,Mujer,57,No,Si,4,5,6,4,3,2,3,4,6,5,4,4,6,4,7,6,5,6,6,6,6,6,6,5,6,6,7,6,6,6
