Id;Survey_finish_time;Severity_1;Severity_2;Severity_3;Reactance_1;Reactance_2;Reactance_3;Reactance_4;Reactance_5;Reactance_6;Reactance_7;Reactance_8;Reactance_9;Reactance_10;Reactance_11;Attitude_1;Attitude_2;Attitude_3;Social_norms_1;Social_norms_2;Social_norms_3;Moral_norms_1;Moral_norms_2;Moral_norms_3;Beh_control_1;Beh_control_2;Beh_control_3;Beh_control_4;Intention_1;Intention_2;Intention_3;Residence;Education;Sex;Years_old;Age;Self_sick;Know;Know_recode;Reactance;Severity;Attitude;Beh_Control;Social_norms;Moral_norms;Intention
545;504;6;4;4;4;4;3;4;5;5;5;4;5;5;5;6;6;6;4;4;4;5;5;6;5;5;4;4;4;4;5;5;5;0;29;2;2;1;1;445,454,545,454,545;466,666,666,666,667;6;4,5;4;533,333,333,333,333;433,333,333,333,333
392;497;5;5;5;6;4;5;4;7;7;7;4;5;5;4;6;6;6;5;5;5;6;6;6;6;6;5;5;6;6;6;2;6;0;64;6;2;1;1;527,272,727,272,727;5;6;5,5;5;6;6
333;474;6;5;5;4;5;4;3;5;5;5;5;5;5;5;4;4;3;4;4;4;4;3;4;4;5;4;4;5;3;3;5;4;0;46;4;2;1;1;463,636,363,636,364;533,333,333,333,333;366,666,666,666,667;4,25;4;366,666,666,666,667;366,666,666,666,667
534;466;5;5;5;5;3;3;4;5;5;5;4;5;5;3;4;4;3;3;3;4;5;3;4;5;5;3;3;3;3;3;1;3;0;42;4;2;1;1;427,272,727,272,727;5;366,666,666,666,667;4;333,333,333,333,333;4;3
109;464;5;5;5;5;4;4;4;5;5;5;5;5;5;5;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;1;6;0;34;3;2;1;1;472,727,272,727,273;5;4;4;4;4;4
393;464;7;7;6;2;5;5;1;3;5;6;2;2;3;3;7;7;7;5;5;5;5;6;6;6;7;6;7;6;6;6;5;5;0;26;2;2;1;1;336,363,636,363,636;666,666,666,666,667;7;6,5;5;566,666,666,666,667;6
469;459;5;4;4;6;2;2;6;6;6;6;4;6;6;6;3;1;1;1;1;1;1;1;1;1;7;1;7;2;2;1;1;6;0;61;6;2;1;1;509,090,909,090,909;433,333,333,333,333;166,666,666,666,667;4;1;1;166,666,666,666,667
231;448;7;6;6;5;4;5;3;3;6;6;5;4;5;5;5;5;4;4;4;4;4;4;4;3;6;5;5;5;4;4;3;3;0;26;2;2;1;1;463,636,363,636,364;633,333,333,333,333;466,666,666,666,667;4,75;4;4;433,333,333,333,333
127;438;4;4;4;3;1;1;4;4;5;7;1;7;6;1;1;1;1;4;4;4;1;1;1;7;7;7;7;1;1;1;4;6;0;44;4;2;1;1;363,636,363,636,364;4;1;7;4;1;1
512;432;4;5;5;4;4;5;5;5;5;6;5;6;7;6;1;1;1;1;1;1;1;1;1;1;7;1;7;1;1;1;3;3;0;18;2;2;1;1;527,272,727,272,727;466,666,666,666,667;1;4;1;1;1
489;431;4;4;5;5;4;3;4;6;6;7;3;5;7;4;4;4;4;4;3;3;4;2;4;4;6;4;4;5;3;3;1;6;0;29;2;2;1;1;490,909,090,909,091;433,333,333,333,333;4;4,5;333,333,333,333,333;333,333,333,333,333;366,666,666,666,667
270;409;6;4;4;5;3;2;2;6;6;7;1;6;6;1;4;4;4;3;3;3;3;2;2;5;7;7;7;1;1;1;1;6;0;43;4;2;1;1;409,090,909,090,909;466,666,666,666,667;4;6,5;3;233,333,333,333,333;1
482;394;5;4;5;6;4;4;2;5;6;7;3;5;5;5;5;5;4;6;6;6;5;4;5;6;6;4;5;5;5;6;5;3;0;20;2;2;1;1;472,727,272,727,273;466,666,666,666,667;466,666,666,666,667;5,25;6;466,666,666,666,667;533,333,333,333,333
238;364;7;5;5;4;4;4;4;4;5;4;4;4;4;4;4;3;4;4;4;4;3;3;3;3;6;4;5;4;3;3;2;6;0;55;5;2;1;1;409,090,909,090,909;566,666,666,666,667;366,666,666,666,667;4,5;4;3;333,333,333,333,333
351;353;7;7;7;2;5;5;3;5;7;7;4;7;7;7;6;4;5;5;5;5;7;5;6;4;1;4;4;7;7;7;3;6;0;42;4;2;1;1;536,363,636,363,636;7;5;3,25;5;6;7
235;352;6;7;6;6;6;6;7;7;7;7;7;7;7;7;1;1;1;1;1;1;1;1;1;1;7;1;1;1;1;1;5;6;0;52;5;2;1;1;672,727,272,727,273;633,333,333,333,333;1;2,5;1;1;1
177;346;6;6;6;6;6;6;6;6;6;6;6;6;6;6;5;5;4;4;4;5;4;4;5;5;4;4;4;4;4;5;4;6;0;36;3;2;1;1;6;6;466,666,666,666,667;4,25;433,333,333,333,333;433,333,333,333,333;433,333,333,333,333
85;330;6;6;6;5;3;4;4;5;5;5;4;6;5;4;3;3;3;3;3;3;3;3;3;5;5;4;3;3;3;3;3;6;0;33;3;2;1;1;454,545,454,545,455;6;3;4,25;3;3;3
513;329;6;7;5;2;4;2;2;2;5;5;5;6;6;5;7;4;6;5;5;5;6;6;6;3;6;5;5;6;6;6;4;3;0;19;2;2;1;1;4;6;566,666,666,666,667;4,75;5;6;6
